competitor_id,driver_name,driver_number,lap_number,lap_time,last_time_of_day,gap_to_leader,gap_to_previous,gap_to_best,is_best_lap,finished,sector1,sector2,sector3
15443831,,,1,51.698,,5.194,1.425,1.101,False,False,,,
15443831,,,2,49.865,,3.361,0.151,0.146,False,False,,,
15443831,,,3,49.173,,2.752,0.132,0.221,False,False,,,
15443831,,,4,48.235,,1.998,0.042,0.096,False,False,,,
15443831,,,5,48.487,,2.165,0.018,0.451,False,False,,,
15443831,,,6,47.863,,1.793,0.010,0.032,False,False,,,
15443831,,,7,48.684,,1.793,0.010,0.032,False,False,,,
15443831,,,8,48.312,18:00:37.929,1.793,0.400,0.032,False,True,,,
12013013,,,1,49.803,,3.299,0.089,0.208,False,False,,,
12013013,,,2,48.878,,2.374,0.298,0.467,False,False,,,
12013013,,,3,48.691,,2.270,0.070,0.271,False,False,,,
12013013,,,4,49.442,,2.454,0.360,0.271,False,False,,,
12013013,,,5,50.577,,2.621,0.005,0.210,False,False,,,
12013013,,,6,49.937,,2.621,0.098,1.959,False,False,,,
12013013,,,7,48.124,,2.054,0.131,0.093,False,False,,,
12013013,,,8,47.876,18:00:39.382,1.806,0.013,0.019,False,True,,,
10927270,,,1,50.273,,3.769,0.408,1.935,False,False,,,
10927270,,,2,48.962,,2.458,0.084,0.079,False,False,,,
10927270,,,3,49.092,,2.541,0.271,0.211,False,False,,,
10927270,,,4,48.686,,2.449,0.451,0.005,False,False,,,
10927270,,,5,47.895,,1.825,0.042,0.292,False,False,,,
10927270,,,6,48.644,,1.825,0.032,0.292,False,False,,,
10927270,,,7,49.354,18:00:12.391,1.825,0.032,0.098,False,True,,,
11609723,,,1,49.714,,3.210,0.315,0.151,False,False,,,
11609723,,,2,49.041,,2.537,0.163,0.332,False,False,,,
11609723,,,3,48.193,,1.772,0.384,0.044,False,False,,,
11609723,,,4,48.548,,1.956,0.340,0.042,False,False,,,
11609723,,,5,48.187,,2.117,0.334,0.030,False,False,,,
11609723,,,6,49.001,,2.117,0.292,0.030,False,False,,,
11609723,,,7,47.993,,1.923,0.098,0.131,False,False,,,
11609723,,,8,47.925,18:00:39.043,1.855,0.030,0.199,False,True,,,
13871272,,,1,50.077,,3.573,0.212,0.196,False,False,,,
13871272,,,2,48.376,,1.872,0.567,0.204,False,False,,,
13871272,,,3,48.331,,1.910,0.094,0.249,False,False,,,
13871272,,,4,48.217,,1.980,0.024,0.018,False,False,,,
13871272,,,5,1:48.908,,2.147,0.030,0.163,False,False,,,
13871272,,,6,48.517,,2.147,0.093,0.163,False,False,,,
13871272,,,7,48.065,18:00:53.473,1.995,0.140,0.315,False,True,,,
10062511,,,1,49.936,,3.432,0.133,0.075,False,False,,,
